N,Mean Path Length,Standard Deviation
1,1.0,0.0
2,1.5,0.0
4,2.0,0.0
8,2.64075,0.041481170427074644
16,3.5166875,0.09798180236018315
32,4.40184375,0.06801538629925945
64,5.337140625,0.05721838092111974
128,6.3086953125,0.056371305289647095
256,7.3292734375,0.08542242338801019
512,8.3791953125,0.10371509554988552
1024,9.4174482421875,0.08696313414019628
2048,10.42793212890625,0.06582372997252547
4096,11.45077001953125,0.06162305955559357
8192,12.474513916015624,0.062450209869061885
16384,13.515036193847656,0.09135022374886718
